Unnamed: 0,fpros_id,player_name,sportsdata_id,player_team_id,player_position_id,player_positions,player_short_name,player_eligibility,player_yahoo_positions,player_page_url,player_filename,player_square_image_url,player_image_url,player_yahoo_id,cbs_player_id,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_ecr_delta,rank_min,rank_max,rank_ave,rank_std,pos_rank,ovr_tier,ovr_rank_ecr,rank_max_duplicate,rank_ave_duplicate,rank_std_duplicate,pos_tier,pos_rank_ecr,sleeper_id,rank_min_duplicate,player_ecr_delta_duplicate,pos_rank_duplicate
11,22968,Jahmyr Gibbs,fef9457e-6497-47de-9bf2-cc3b95929375,DET,RB,RB,J. Gibbs,RB,RB,https://www.fantasypros.com/nfl/players/jahmyr-gibbs.php,jahmyr-gibbs.php,https://images.fantasypros.com/images/players/nfl/22968/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/22968/headshot/210x210.png,40059.0,3162723.0,5.0,99.3,99.6,99,,8,17,12.73,2.38,RB4,3.0,12.0,10.0,6.23,1.56,2.0,5.0,9221,3.0,,RB5
12,19217,Jonathan Taylor,925195a4-06ba-4e37-ae7d-a3d6a5419139,IND,RB,RB,J. Taylor,RB,RB,https://www.fantasypros.com/nfl/players/jonathan-taylor.php,jonathan-taylor.php,https://images.fantasypros.com/images/players/nfl/19217/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19217/headshot/210x210.png,32711.0,2866395.0,14.0,98.8,99.6,98,,9,42,15.0,5.71,RB5,3.0,13.0,9.0,4.53,1.33,2.0,4.0,6813,2.0,,RB4
13,17240,Saquon Barkley,9811b753-347c-467a-b3cb-85937e71e2b9,PHI,RB,RB,S. Barkley,RB,RB,https://www.fantasypros.com/nfl/players/saquon-barkley.php,saquon-barkley.php,https://images.fantasypros.com/images/players/nfl/17240/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17240/headshot/210x210.png,30972.0,2185957.0,5.0,100.0,99.9,100,,11,49,16.59,6.47,RB6,3.0,14.0,14.0,6.64,1.86,2.0,7.0,4866,4.0,,RB7
14,23064,Marvin Harrison Jr.,e8da21a8-796d-48a2-b644-57d08983ae01,ARI,WR,WR,M. Harrison Jr.,WR,WR,https://www.fantasypros.com/nfl/players/marvin-harrison-jr.php,marvin-harrison-jr.php,https://images.fantasypros.com/images/players/nfl/23064/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23064/headshot/210x210.png,40893.0,26701883.0,11.0,97.9,97.9,0,,9,36,16.73,5.16,WR9,3.0,15.0,19.0,11.96,2.58,3.0,12.0,11628,7.0,,WR12
15,12123,Davante Adams,e7d6ae25-bf15-4660-8b37-c37716551de3,LV,WR,WR,D. Adams,WR,WR,https://www.fantasypros.com/nfl/players/davante-adams.php,davante-adams.php,https://images.fantasypros.com/images/players/nfl/12123/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/12123/headshot/210x210.png,27581.0,1893167.0,10.0,99.9,99.7,100,,10,36,16.86,4.39,WR10,3.0,16.0,27.0,15.61,3.14,3.0,16.0,2133,8.0,,WR16
16,20111,Chris Olave,2375d572-a36c-4365-bb3f-87e156526e2f,NO,WR,WR,C. Olave,WR,WR,https://www.fantasypros.com/nfl/players/chris-olave.php,chris-olave.php,https://images.fantasypros.com/images/players/nfl/20111/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/20111/headshot/210x210.png,33966.0,2963666.0,12.0,98.8,98.5,99,,14,33,19.72,4.08,WR11,3.0,17.0,24.0,14.3,2.67,3.0,13.0,8144,8.0,,WR13
17,23163,Drake London,5053f9ae-15d9-4730-833d-484886b6f890,ATL,WR,WR,D. London,WR,WR,https://www.fantasypros.com/nfl/players/drake-london.php,drake-london.php,https://images.fantasypros.com/images/players/nfl/23163/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/23163/headshot/210x210.png,33963.0,3127902.0,12.0,93.0,97.0,89,,14,50,21.46,7.61,WR12,3.0,18.0,29.0,15.46,3.45,3.0,15.0,8112,11.0,,WR15
18,17298,Josh Allen,3069db07-aa43-4503-ab11-2ae5c0002721,BUF,QB,QB,J. Allen,QB,QB,https://www.fantasypros.com/nfl/players/josh-allen-qb.php,josh-allen-qb.php,https://images.fantasypros.com/images/players/nfl/17298/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/17298/headshot/210x210.png,30977.0,2181054.0,12.0,99.9,99.8,100,,18,36,21.88,5.16,QB1,3.0,19.0,4.0,1.51,0.8,1.0,1.0,4984,1.0,,
19,19278,Michael Pittman Jr.,1aefd5e2-1f85-471a-91a5-4aad4cf6fe6d,IND,WR,WR,M. Pittman Jr.,WR,WR,https://www.fantasypros.com/nfl/players/michael-pittman.php,michael-pittman.php,https://images.fantasypros.com/images/players/nfl/19278/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19278/headshot/210x210.png,32704.0,2240188.0,14.0,97.1,98.2,96,,14,44,22.81,6.43,WR13,4.0,20.0,35.0,25.41,3.51,4.0,25.0,6819,17.0,,WR25
20,19231,Travis Etienne Jr.,970693f0-0af4-4627-ac0c-bf519f7433ee,JAC,RB,RB,T. Etienne Jr.,RB,RB,https://www.fantasypros.com/nfl/players/travis-etienne.php,travis-etienne.php,https://images.fantasypros.com/images/players/nfl/19231/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19231/headshot/210x210.png,33413.0,2809206.0,12.0,99.7,99.4,100,,13,45,24.4,9.74,RB7,4.0,21.0,14.0,9.35,2.28,2.0,9.0,7543,4.0,,RB9
